Fellow	Year	Citation
Prashant Mehta	2024	For contributions to nonlinear filtering 
Shengwei Mei	2015	For contributions to power systems robust control and complexity analysis 
Hong Mei	2015	For contributions to software architecture and component-based software engineering 
Tao Mei	2019	For contributions to multimedia analysis and applications 
P Meier	1985	For pioneering the development of fin-line transmission medium related components using photolithographic techniques. 
Russell Meier	2018	For contributions to global on-line engineering education 
Erik Meijering	2019	For contributions to computational methods for biological image analysis 
James Meindl	1968	For leadership and contributions in the field of microelectronic and integrated circuitry. 
Saad Mekhilef	2022	For contributions to control methods for photovoltaic systems and multi-level inverters 
Charles Melcher	2014	For the discovery of a cerium-activated lutetium oxy-orthosilicate scintillator and its application to medical imaging 
Claudio Melchiorri	2020	For design and control of robot hands and telemanipulation systems 
Kathleen Melde	2012	For contributions to tunable antennas and their integration in electrical packaging 
Deirdre Meldrum	2005	For contributions to genome automation. 
Farid Melgani	2016	For contributions to image analysis in remote sensing 
A Meliopoulos	1993	For contributions to power system grounding, reliability assessment, and analysis of harmonics. 
Marco Mellia	2021	For contributions to Internet traffic analysis 
Michael Melloch	1999	For contributions to silicon carbide device technology. 
Tommaso Melodia	2018	For contributions to underwater acoustic and multimedia networks 
James Melsa	1978	For educational leadership in the information and control sciences. 
William Melvin	2008	For contributions to adaptive signal processing methods in radar systems 
Nasir Memon	2011	For contributions to media security and compression 
Daniel Menasce	2014	For contributions to research and education in performance evaluation of computer systems 
Jerry Mendel	1978	For contributions to system identification, state estimation, and their application to aerospace technology. 
Abraham Mendelson	2018	For contributions to power-aware architecture and value prediction for program execution 
Gaudenzio Meneghesso	2013	For contributions to the reliability physics of compound semiconductors devices 
Ellis Meng	2016	For contributions to biomedical microelectromechanical systems 
Umberto Mengali	1990	For contributions to the theory of synchronization on digital communication system 
Carmen Menoni	2010	For contributions to nano-scale imaging with ultraviolet lasers, and semiconductor optical materials and devices 
Curtis Menyuk	1998	For contributions to mathematics and computation of light propagation in nonlinear and disperse optical fibers. 
Wolfgang Menzel	2001	For contributions to the development of microwave fin-line circuits. 
Tim Menzies	2019	For contributions to software engineering for artificial intelligence 
M. Ray Mercer	1994	For contributions to the art and science of testing logic networks. 
Neri Merhav	1999	For contributions to universal methods of prediction and data compression. 
Jean-Pierre Merlet	2015	For contributions to parallel robots 
P Mermelstein	1994	For leadership in industry/university collaborative research in speed coding and recognition. 
Hyde Merrill	1993	For contributions to decision analysis considering conflicting objectives and risk in electric power systems. 
Mehran Mesbahi	2015	For contributions to networked control systems 
Hagit Messer-Yaron	2001	For contributions to statistical signal processing, time delay estimation and sensor array processing. 
David Messerschmitt	1983	For contributions to the theory of transmitting digital waveforms on band-limited channels. 
Lalit Mestha	2011	For contributions to digital printing systems control 
Dimitri Metaxas	2016	For contributions to computer vision, medical image analysis, and sparse learning methods 
Cecilia Metra	2014	For contributions to the on-line testing and fault-tolerant design of digital circuits and systems 
Florian Metze	2023	For contributions to end-to-end training of speech recognition systems 
Jerry Meyer	2005	For contributions to semiconductor optoelectronics. 
Robert Meyer	1981	For contributions to analysis and design of high-frequency amplifiers 
John Meyer	1985	For contributions to the theory of fault-tolerant computing. 
Bruno Meyer	2008	For leadership in power system simulation, modeling and analysis 
Bernard Meyerson	2001	For contributions to ultra high vacuum chemical vapor deposition and its application to low temperature epitaxy of SiGe. 
Sean Meyn	2002	For contributions to stochastic control, dynamic optimization, and control of large networks. 
Thierry Meynard	2017	For contributions to multilevel power converters 
Heinrich Meyr	1986	For contributions to the theory of tracking loops and synchronization. 
Igor Mezic	2022	For contributions to modeling and control using Koopman operator techniques 
Chunting Mi	2012	For contributions to hybrid electric vehicle modeling and power control 
Zetian Mi	2022	For contributions to III-nitride photonics and clean energy 
Silvestro Micera	2022	For contributions to restoration of human sensorimotor functions using engineered neuroprostheses 
James Michalec	2003	For contributions to rotating machinery operation, maintenance, and standards development. 
Bruno Michel	2019	For contributions to energy efficiency for computers and solar systems 
James Michels	2005	For contributions to model-based multi-channel signal detection and estimation in adaptive phased array radar applications. 
Miroslav Micovic	2019	For contributions to gallium nitride electronics 
Richard Middleton	1999	For contributions to control theory and applications. 
Katsumi Midorikawa	2007	For contributions to generation of intense coherent soft x-ray radiation 
Masatoshi Migitaka	2000	For contributions to research and development of silicon high temperature integrated circuits. 
Maurizio Migliaccio	2017	For contributions to marine and maritime polarimetric synthetic aperture radar 
Marco Migliaro	1988	For contributions to the application and standardization of battery technology for industrial and utility power systems. 
Risto Miikkulainen	2016	For contributions to neural and evolutionary computation 
Wasfy Mikhael	1987	For contributions to the development of hybrid and integrated filtering circuits and systems. 
Tetsuya Miki	2000	For contributions to optical transmission systems and Fiber-To-The-Home. 
Thomas Mikolajick	2023	For contributions to nonvolatile memory 
Yoshihiko Mikuni	1997	For contributions to TV broadcasting and receiving antennas. 
Federico Milano	2016	For contributions to power system modeling and simulation 
Jovica Milanovic	2010	For contributions to power system dynamics and power quality 
Olgica Milenkovic	2018	For contributions to genomic data compression 
Lamine Mili	2016	For contributions to robust state estimation for power systems 
Jose  del R. Millan	2017	For contributions to brain-controlled robots 
Nicholas Miller	2002	For technical leadership in the analysis and control of voltage instability in power systems 
Russ Miller	2012	For contributions to theory and practice of parallel algorithms and architectures 
John Miller	1999	For contributions to the development of integrated power electronics, novel electric machines, and drives for automotive applications. 
Alan Miller	1998	For contributions to the understanding of ultrafast phenomena in semiconductor materials and nonlinear optoelectronic devices. 
Ethan Miller	2015	For contributions to the design of file and storage systems 
Eric Miller	2012	For contributions to inverse problems and physics-based signal and image processing 
Edmund Miller	1984	For contributions to the development and application of numerical methods in electromagnetic radiation and scattering. 
Victor Miller	2010	For contributions to elliptic curve cryptography 
David A Miller	1995	For research in electro-optical properties of semiconductors and their application on digital optical switching and processing. 
H Craig Miller	2010	For research on discharges and electrical insulation in vacuum 
J Miller	1998	For contributions to the understanding of properties of normal and diseased hearts using ultrasonics, echocardiography and myocardial tissue characterization. 
Michael Miller	2020	For contributions to medical imaging, brain mapping, and computational anatomy 
Thomas Milligan	2009	For development of antennas for space exploration 
Anthony Milne	2011	For leadership in remote sensing applications 
Dejan Milojicic	2010	For contributions to distributed systems software and mobile programming abstractions 
Linda Milor	2023	For contributions to testing of analog circuits and bridging the design-manufacturing gap for integrated circuits 
Laurence Milstein	1985	For contributions to the analysis and technology of spread-spectrum systems. 
Stephen Milton	2017	For contributions to free electron lasers 
Yinghua Min	1997	For technical leadership in electronic testing and fault-tolerant computing. 
Robert Minasian	2003	For contributions to photonic signal processing of microwave signals. 
William Miniscalco	2000	For contributions to development and application of optical fiber amplifiers and lasers. 
Frederick Mintzer	1999	For contributions to the development of digital libraries, digital watermarking, and multirate signal processing. 
Vladimiro Miranda	2006	For contributions to computational intelligence tools in electric power systems. 
Pitu Mirchandani	2017	For contributions to stochastic dynamic networked systems in intelligent transportation and production systems 
Richard Mirin	2023	For contributions to quantum photonic devices 
Umesh Mishra	1995	For contributions to low-noise high-electron mobility transistors (HEMTs) and compound semiconductor device technology. 
Bud Mishra	2009	For contributions to the mathematical modeling of robotic grasping 
Prabhat Mishra	2021	For contributions to system-on-chip validation and design automation of embedded systems 
Jelena Misic	2018	For contributions to modeling and performance evaluation in wireless communications 
Jayadev Misra	1992	For contributions to the algorithms and theory of distributed computing. 
Veena Misra	2012	For contributions to metal electrodes and high-K dielectrics for CMOS applications 
Pratap Misra	2007	For contributions to global satellite navigation systems 
Durgamadhab Misra	2020	For contributions to the reliability of CMOS gate stacks with high-k dielectrics 
Vishal Misra	2016	For contributions to network traffic modeling, congestion control and Internet economics 
Sudip Misra	2022	For contributions to intelligent sensing in constrained IoT environments 
Kaizad Mistry	2010	For contributions to high performance complementary metal-oxide semiconductor technology and reliability 
Vladimir Mitin	2011	For contributions to sensors and detectors 
Joseph Mitola	2010	For contribution to software-defined and cognitive radio technologies 
Massimo Mitolo	2020	For contributions to the electrical safety of low-voltage systems 
S Mitra	1974	For contributions to active network theory and to engineering education. 
Sushmita Mitra	2012	For contributions to neuro-fuzzy and hybrid approaches in pattern recognition 
Biswadip Mitra	2011	For leadership in the semiconductor industry and very-large-scale integrated circuit design 
Debasis Mitra	1989	For contributions to mathematical foundations of computer and communication system design and analysis. 
Urbashi Mitra	2007	For contributions to multiuser wideband digital communication systems 
Joydeep Mitra	2019	For contributions to the development of power system reliability methods 
Subhasish Mitra	2013	For contributions to design and test of robust integrated circuits 
Sanjoy Mitter	1979	For contributions to optimization computation and control theory. 
Daniel Mittleman	2011	For contributions to terahertz radiation imaging, sensing, and spectroscopy 
Raj Mittra	1971	For contributions to electromagnetic theory as applied to the solution of problems in antennas and waveguides. 
Kenneth Mitzner	1988	For contribution to the theory of electromagnetic scattering and its applications. 
Mitiko Miura-Mattausch	2007	For contributions to nanoscale metal oxide semiconductor field effect transistor compact modeling 
Makoto Miyake	2003	For contributions to the development of error-correction receivers and their applications to wireless communication terminals. 
Tetsuya Mizumoto	2012	For contributions to waveguide optical nonreciprocal devices for optical communications 
Hiroyuki Mizuno	2022	For contributions to leakage current reduction in integrated circuits 
Akira Mizuno	2005	For the reduction of gaseous pollutants. 
Koji Mizuno	1993	For contributions to the development of electron devices for the short millimeter and submillimeter-wave regions. 
Teruyos Mizutani	1995	For contributions to the understanding and development of polymeric insulating materials. 
Yukou Mochida	2004	For contributions to the development and deployment of digital transport system. 
Paul Mockapetris	2014	For contributions to the design and implementation of the Internet Domain Name Systems 
Mohammad Modarres	2023	For contributions to probabilistic risk assessment in nuclear safety 
Jozef Modelski	2001	For contributions to microwave semiconductor phase modulators and phase shifters. 
Eytan Modiano	2012	For contributions to cross-layer resource allocation algorithms for wireless, satellite, and optical networks 
Apurva Mody	2022	For leadership in cognitive dynamic spectrum sharing and standards 
Marc Moeneclaey	2002	For contributions to the theory of synchronization in digital communications. 
Tohru Mogami	2012	For contribution to surface-channel pMOSFET and nanoscale transistor technology 
Mahta Moghaddam	2009	For contributions to forward and inverse scattering techniques for radar remote sensing 
Yasser Mohamed	2021	For contributions to the control and dynamic analysis of microgrids and power electronic systems 
Osama Mohammed	1996	For contributions to three-dimensional electromagnetic field computation and for the development of intelligent systems techniques for the optimal design of electromagnetic devices and systems. 
C Mohan	2003	For contributions to robust high-performance transaction management. 
Ned Mohan	1996	For contributions to power electronics education and applications in power systems. 
Nirode Mohanty	1993	For contributions to the development of secure, survivable communications and surveillance systems. 
Prasant Mohapatra	2010	For contributions to the quality of service provisioning in computer networks 
K Mohiuddin	1999	For contributions to Optical Character Recognition algorithms and systems. 
Daleep Mohla	2006	For contributions to electrical safety design concepts and methods to reduce workplace hazards. 
R Mohler	1982	For contributions to automatic control theory of bilinear systems. 
Amr Mohsen	1992	 
Amir-Hamed Mohsenian-Rad	2020	For contributions to optimal resource management in wireless networks and the smart grid 
Theodore Moise	2019	For contributions to ferroelectric memory development and engineering 
Aleksandra Mojsilovic	2017	For contributions to signal processing for image analysis, data mining, and business analytics 
Philip Mok	2014	For contributions to the design of analog power-management integrated circuits 
Mohamed Mokbel	2020	For contributions to building spatially- and privacy-aware systems 
Eric Mokole	2011	For leadership and contributions to ultra-wideband radar, waveform diversity, and transionospheric space radar 
Marta Molinas	2023	For contributions to modeling and stability of power electronics 
Linn Mollenauer	1996	For seminal and sustained contributions to the science, technology, and ultra-high-capacity communication applications of optical solutions. 
Hisayo Momose	2005	For contributions to  ultra-thin gate oxide metal oxide semiconductor fields effect transistors. 
Salvatore Monaco	2003	For contributions to nonlinear digital systems theory and control. 
Agostino Monorchio	2012	For contributions to computational electromagnetics and for application of frequency selective surfaces in metamaterials 
Gian Carlo Montanari	2000	For contributions to the understanding and modeling aging processes in high voltage insulation. 
Andrea Montanari	2018	For applications of statistical physics to coding theory 
Lon W Montgomery	2010	For contributions to design of large synchronous generators 
Webert Montlouis	2022	For leadership in the development of radar systems 
Guido Montorsi	2020	For contributions to error-correcting codes and iterative decoding 
Paolo Montuschi	2014	For contributions to the theory and applications of digital arithmetic 
Claude Moog	2007	For contributions to the algebraic theory of nonlinear control systems 
Un-Ku Moon	2009	For contributions to low voltage complementary metal-oxide semiconductor mixed-signal technology 
Wooil Moon	2003	For contributions to theoretical geodynamics for earth system observation. 
Jeong-Sun Moon	2014	For contributions to GaN- and graphene-based microwave and millimeter-wave devices 
Marc Moonen	2007	For contributions to adaptive filtering algorithms for digital communications and audio signal processing 
James Moore	2006	For leadership in software engineering standardization and contributions to the  codification of software engineering. 
Luis Moran	2005	For contributions to reactive power and harmonic compensation methods. 
James Moran	2003	For development of spectroscopic techniques in interferometric radio astronomy. 
Roberto Morandotti	2021	For contributions to integrated nonlinear and quantum optics 
Manfred Morari	2005	For contributions to robust and model predictive control and control of hybrid systems. 
Alberto Moreira	2004	For contributions to synthetic aperture radar systems and high resolution signal processing and image formation algorithms. 
Jose Moreira	2021	For advances in high performance computing systems software and processor design 
John Moreland	2011	For contributions to magnetic applications of scanning probe microscopy and microsystem technologies 
J Derald Morgan	1984	For contributions to engineering education. 
Nelson Morgan	1999	For contributions to the processing and recognition of brain and speech signals. 
Vincent Morgan	1991	For contributions to the analysis of the thermal behavior of overhead power conductors. 
B Morgan	1972	For contributions to aerospace research and development programs. 
Michael Morgan	1994	For theoretical contributions to infinite element techniques applied to electromagnetic scattering, and for academic leadership. 
Salvatore Morgera	1990	For contributions to finite-dimensional signal processing methods. 
Warren Mori	2007	For contributions to plasma physics 
Mutsuhiro Mori	2020	For contributions to high voltage insulated gate bipolar transistors for traction and high voltage systems 
Gordon Morison	2013	For contributions to on-line stability assessment tools for power systems 
Takehiro Moriya	2003	For contributions to speech compression and audio coding technologies and their standardization. 
Lloyd Morley	1988	For contributions to the analysis and design for improving mine electrical safety and the reliability of power systems in mines. 
Robert J Morris	2000	For contributions to performance evaluation of computer systems. 
Kirsten Morris	2020	For contributions to control and estimator design for infinite-dimensional systems 
Arthur Morris	2013	For development and commercialization of CMOS radio frequency micro electro mechanical systems 
James Morris	2000	For leadership in development of electronics packaging. 
Katherine Morse	2021	For contributions to standardization of simulation technologies 
A Morse	1984	For contributions to the theory of multivariable control systems. 
Daniele Mortari	2016	For contributions to navigational aspects of space systems 
Amir Mortazawi	2006	For contributions to quasi-optical and circuit based power generation techniques. 
Paul Morton	2011	For contributions to optical transmitters 
Yu Morton	2014	For contributions to the understanding of ionospherice effects on global navigation satellite signals 
Edoardo Mosca	1997	For contributions to adaptive and predictive control 
George Moschytz	1978	For contributions to the theory and the development of hybrid-integrated linear communication networks. 
Gabriele Moser	2023	For contributions to pattern recognition in remote sensing 
Randolph Moses	2010	For contributions to statistical signal processing 
William Moses	2006	For the development and application of efficient, high resolution position tomography. 
Andreas Moshovos	2021	For contributions to out-of-order processor microarchitecture and multiprocessor memory systems 
Juan Mosig	1999	For contributions to the full-wave numerical analysis of multilayer printed antennas, scatterers and circuits. 
Mehrdad Moslehi	2005	For contributions to single wafer processing technologies. 
David Moss	2016	For contributions to all-optical signal processing chips and commercial products for fibre optic communications 
Eliot Moss	2010	For contributions to transactional computing and memory management 
Yasamin Mostofi	2020	For contributions to control and communications co-optimization in mobile sensor networks 
Marek Moszynski	2006	For contributions to scintillation detectors in nuclear physics and nuclear medicine. 
Mehul Motani	2018	For contributions to wireless communications and sensor networks 
Masato Motomura	2022	For contributions to memory-logic integration of reconfigurable chip architecture 
Hideki Motoyama	2018	For contributions to lightning protection and insulation coordination of electric power systems 
Hussein Mouftah	1990	For contributions to communications modeling. 
James Moulic	2005	For leadership in the advancement of technology and architecture of personal and high performance computing systems. 
Pierre Moulin	2003	For contributions to statistical signal processing and the theory of information hiding. 
Peter Moulton	2011	For contributions to development of laser and nonlinear optics technology, including the invention of the Ti:sapphire laser 
Jose Moura	1994	For contributions to nonlinear filtering and model-based signal processing. 
Gerard Mourou	1998	For contributions to chirp pulse amplification of ultrashort optical pulses and electrooptic sampling techniques for high speed signal characterization. 
Abdul Mousa	1995	For contributions to the design and safe operation of high voltage power transmission facilities. 
Theodore Moustakas	2014	For contributions to the epitaxial growth of nitride semiconductors 
William Moylan	1998	For leadership in the development of standards for electric power distribution for industrial plants. 
James Muccioli	1998	For contributions to integrated circuit design practices to minimize electromagnetic interference. 
Trevor Mudge	1995	For contributions to the design and analysis of high performance processors. 
Klaus Mueller	2024	For contributions to image reconstruction and visualization 
Ralf Reiner Mueller	2023	For contributions to the design and analysis of large multiantenna and multiple-access systems 
Frank Mueller	2016	For contributions to timing analysis of real-time systems 
Annette Muetze	2016	For contributions to the analysis and mitigation of bearing currents in variable-speed drives 
Max Muhlhauser	2024	For contributions to distributed software engineering 
Oleg Mukhanov	2012	For leadership in research and development of superconducting digital electronics 
Shubhendu Mukherjee	2009	For contributions to modeling of and protection against radiation-induced soft errors 
Biswanath Mukherjee	2007	For contributions to architectures, algorithms, and protocols for optical networks 
Debargha Mukherjee	2022	For leadership in standard development for video-streaming industry 
Subhas Mukhopadhyay	2011	For development of low-cost smart sensors and sensing systems 
Saibal Mukhopadhyay	2018	For contributions to energy-efficient and robust computing systems design 
Bernard Mulgrew	2012	For contributions to linear and nonlinear equalizers for adaptive systems 
Eduard Muljadi	2010	For contributions to wind turbine control and integration of wind power into the power system grid 
Vladimir Muljevic	1994	For leadership in cybernetics and control engineering education, and in the history of technology 
Richard Muller	1988	For contributions to solid-state sensors and to the education in solid-state electronics. 
JeanMichel Muller	2017	For contributions to theory and applications of computer arithmetic 
Arrate Munoz-Barrutia	2024	For contributions to biomedical image processing 
David Munson	1991	For contributions to synthetic aperture radar and Fourier-offset imaging. 
Gabriel Miro Muntean	2023	For contributions in multimedia quality in heterogeneous network environments 
Richard Muntz	1992	For contributions to the theory of queueing networks and computer system performance. 
Tamara Munzner	2023	For contributions to principles, processes, and design for visualization 
Toshiyuki Murakami	2024	For contributions to reaction torque observer and power assisted control 
Koso Murakami	2004	For contributions to switching technologies and systems for broadband communications networks. 
Paul Muralt	2013	For contributions to piezoelectric microelectro mechanical systems 
Kazuo Murano	2002	For contributions to the research and development of communications signal processing and DSP LSIs, and the standardization of ISDN user-network interface. 
Hiroshi Murase	2006	For contributions to image recognition and multimedia content monitoring systems. 
Tadahiko Murata	2024	For contributions to evolutionary multi-objective optimization and algorithms 
Takuro Muratani	1994	For contributions to digital satellite communication system and to efficient use of the geostationary satellite orbit. 
Vittorio Murino	2022	For contributions to signal processing for behavior analysis 
Boris Murmann	2015	For contributions to the design of digitally-assisted analog integrated circuits 
Yi Lu Murphey	2014	For contributions to optimal energy control in hybrid electric vehicles 
Robin Murphy	2010	For contributions to rescue robotics and insertion of robots into major disasters 
Edmond Murphy	2004	For contributions to the development and commercialization of packaging technology for components used in optical fiber communications. 
Robert Murphy	2020	For contributions to machine learning algorithms for biological images 
Alan Murray	2007	For contributions to neural and neuromorphic very large scale integrated implementations, algorithms and applications 
S Murthy	2013	For contributions to self-excited induction generators and renewable energy applications 
Chandra Murthy	2023	For contributions to Bayesian sparse signal recovery and energy harvesting communications 
Samuel Musa	1980	For contributions to nonlinear systems analysis as applied to communications, control, and military systems. 
Y Mushiake	1976	For contributions to linear antennas and self-complementary antennas 
Matt Mutka	2013	For contributions to distributed computing, mobile computing and networking 
Onur Mutlu	2019	For contributions to computer architecture research and practice 
Kashem Muttaqi	2023	For contribution to modeling and control of renewable and distributed energy resources 
Chris Myers	2013	For contributions to design and testing for asynchronous, analog, and genetic circuits 
David Myers	1990	For pioneering  the development of ion beam modification of strained-layer superlattice and quantum-well compound-semiconductor materials for novel electronic and optoelectronic devices. 
Luiz A N Barroso	2020	For leadership in analytical methods for power system economics and regulation 
PREMKUMAR NATARAJAN	2023	For contributions to conversational AI systems,  spoken language translation, and home voice-assistant systems 
ROBERT NOWAK	2010	For contributions to statistical signal and image processing 
CARLO NUCCI	2007	For contributions to analysis and modeling of lightning originated phenomena in power systems 
Samuel Naffziger	2014	For leadership in the development of power management and low power processor technologies 
Larry Nagahara	2011	For leadership in nanotechnology devices and measurement applications 
Radhakrishnan Nagarajan	2008	For contributions to high-bandwidth semiconductor laser and photonic integrated circuit technologies 
Tadao Nagatsuma	2015	For contribution to millimeter and terahertzwave communications using photonics 
Laurence Nagel	2005	For contributions to the field of integrated circuit simulation. 
Mahmoud Naghshineh	2003	For contributions to architecture, algorithms and protocols in wireless networks. 
H Troy Nagle	1983	For contributions to industrial electronics, data acquisition, and control instrumentation. 
Mukesh Nagpal	2022	For contributions to economic and safe integration of distributed renewables in electric utility networks 
Ayman Naguib	2007	For contributions to space-time signal processing and coding for mobile wireless systems 
Louis Nagy	1990	For contributions to the research and development of mobile communications systems for automobile applications. 
George Nagy	2003	For pioneering and sustained contributions to pattern recognition. 
David Nahamoo	2002	For development of speech recognition algorithms and products 
Saeid Nahavandi	2020	For contributions to haptically-enabled robotic systems 
Babak Nahid-Mobarakeh	2022	For contributions to service continuity of electric motor drive systems 
Klara Nahrstedt	2008	For contributions to end-to-end quality of service management of multimedia systems 
D. Subbaram Naidu	1995	For contributions to the theory of singular perturbations in discrete-time control systems and for development of control strategies for aero-assisted orbital transfer. 
Malkondaiah Naidu	2006	For contributions to electrical machines and drives for automotive systems. 
Vijayan Nair	2000	For contributions to development of low-power device and integrated circuits. 
Girish Nair	2018	For contributions to control and information in networked dynamical systems 
Katsuhiko Naito	1990	For contributions to research and development of high-voltage insulators. 
Khalil Najafi	2000	For contributions to biomedical microelectromechanical systems technology. 
Mohamed Najim	1989	For leadership in engineering education and research, and for the development and application of modern control and signal processing techniques to problems of national and regional significance. 
Walid Najjar	2007	For contributions to dataflow and reconfigurable computing architectures 
Farid Najm	2003	For contributions to estimation and modeling of power dissipation in integrated circuits. 
Marc Najork	2020	For contributions to web crawling and web data processing 
Kazuhiro Nakadai	2023	For contributions to robot audition and computational auditory scene analysis 
Tadao Nakamura	2003	For contributions to pipelined computer architecture and computer engineering education. 
Tohru Nakamura	1999	For contributions to the development of high-speed bipolar integrated circuits. 
Katsu Nakamura	2019	For contributions to integrated circuits for digital imaging 
Satoshi Nakamura	2016	For contributions to speech recognition and speech-to-speech translation 
Junichi Nakamura	2017	For leadership in CMOS image sensors 
Yukihir Nakamura	2004	For contributions to very large scale integration synthesis methodologies. 
Yoshihiko Nakamura	2011	For contributions to robotics 
Yoshihisa Nakamura	1998	For contributions and leadership in the field of high-density magnetic recording and the basic development  of perpendicular magnetic recording. 
Koichiro Nakanishi	1997	For contributions to the study of dc gas insulation and its application to high voltage switchgears. 
Yoshiaki Nakano	2023	For contributions to semiconductor integrated photonic devices and circuits 
Tomohiro Nakatani	2021	For contributions to far-field signal processing for speech enhancement and recognition 
Ryohei Nakatsu	2001	For leadership in the development of speech recognition and multimedia systems. 
Wataru Nakayama	2003	For contributions to thermal science and engineering for electronic packaging. 
Masayuki Nakayama	2000	For contributions to the development and standardization of the 3.5 inch floppy disk drive system. 
Masataka Nakazawa	1995	For contributions to high-speed optical solution communication using erbium-doped fiber amplifiers, femtosecond lasers, and nonlinear fiber optics. 
Michel Nakhla	1998	For contributions to the development of advanced CAD techniques for microwave circuits and high-speed interconnects 
Omkaram Nalamasu	2021	For contributions to patterning solutions and advancing materials engineering for electronics, display, and energy 
Orhan Nalcioglu	1988	For contributions to image science and for fundamental work in digital X-ray imaging, X-ray, and nuclear magnetic reasonance tomography 
Arumugam Nallanathan	2017	For contributions to cooperative communications and cognitive radio networks 
Sae Woo Nam	2022	For pioneering development of superconducting single-photon detectors with applications to quantum communications and quantum computing 
Shu Namiki	2017	For contributions to optical amplification 
Chandra Namuduri	2021	For contributions to power electronics for safe and energy efficient electric vehicles 
Ashwini Nanda	2010	For leadership in high performance computer systems 
Sanjiv Nanda	2011	For contributions to algorithm design for wireless in wide area and local area network systems 
Thyagarajan Nandagopal	2016	For contributions to wireless network optimization, RFID systems, and network architectures 
Asoke Nandi	2011	For contributions to signal processing and its applications 
Takashi Nanya	2002	For contribution to the theory and design of self-checking and asynchronous VLSI systems. 
Antonio Napolitano	2016	For contributions to the statistical theory of nonstationary signal processing 
Koichi Nara	2011	For contributions to automation of power distribution systems 
Yadati Narahari	2008	For contributions to the design of manufacturing systems, supply chain networks, and electronic markets 
Madihally Narasimha	2000	For contributions to development of transmultiplexers and discrete cosine transform computational algorithms. 
Prakash Narayan	2001	For contributions to Shannon Theory and its application to the evaluation of the reliability of communication channels. 
Venkatesh Narayanamurti	1987	For leadership in the field of solid-state electronics and phonon optics. 
Shrikanth Narayanan	2009	For contributions to human-centric multimodal signal processing and applications 
Ram Narayanan	2001	For contributions to the development of coherent ultra-wideband random noise radar systems for high-resolution imaging applications. 
Krishna Narayanan	2015	For contributions to coding for wireless communications and data storage 
Vijaykrishnan Narayanan	2011	For contributions to power-aware systems and estimation tools 
C Narayanaswami	2008	For contributions to pervasive computing systems 
Evgenii Narimanov	2011	For contributions to nanophotonics and microlasers 
Raymond Nash	1983	For contributions to the analysis of integrated navigation systems. 
Panos Nasiopoulos	2017	For leadership in DVD authoring and digital multimedia technologies 
Adel Nasiri	2022	For contributions to high power converters for energy storage systems and microgrids 
Nasser-M Nasrabadi	2001	For contributions to Vector Quantization and its applications to image compression and processing. 
Isaac Nassi	2022	For leadership in parallel and distributed systems and adaptive systems 
Sani Nassif	2008	For contributions to semiconductor manufacturing processes 
Arokia Nathan	2010	For contributions to thin film transistor technologies 
Bram Nauta	2008	For contributions to integrated analog circuit design 
Nassir Navab	2022	For contributions to augmented reality in medicine and computer-assisted interventions 
Krishna Nayak	2022	For contributions to real-time magnetic resonance imaging of the human heart and vocal tract airway 
Patrick Naylor	2020	For contributions to signal processing for speech dereverberation and analysis 
Moshe Nazarathy	2020	For contributions to optical systems and analog fiber-optic transmission 
Thomas Neal	2011	For leadership in quantifying arc flash exposure, clothing ignition and arc ratings for worker protection 
Wolfgang Nebel	2012	For contributions to the design of low-power circuits and systems 
Hans Peter Nee	2018	For contributions to silicon carbide power electronics and modular multilevel converters 
Michael Negnevitsky	2023	For contributions to application of AI techniques for control of isolated hybrid power systems 
Thomas Nehl	1994	For contributions to digital network modeling and development of electronically operated permanent magnet machine systems and drives. 
Arye Nehorai	1994	For contributions to statistical signal processing and system identification. 
M Hashem Nehrir	2010	For contributions to alternative energy power generation 
David Neilson	2010	For contributions to optical switching technologies for telecommunication networks 
Jose Neira	2021	For contributions to simultaneous localization and mapping (SLAM) for robot navigation 
Robert Nelms	2004	For technical leadership and contributions to applied power electronics. 
Wayne Nelson	1989	For contributions to reliability, accelerated test analysis, and reliability education. 
Robert Nelson	2016	For contributions to flexible AC transmission system (FACTS) devices and wind power generation 
J Keith Nelson	1990	For contributions to the field of dielectric and insulation systems. 
Stuart Nelson	1998	For contributions to the measurement of radio frequency and microwave dielectric properties of agricultural materials. 
John Nelson	1997	For contributions to the protection of electrical equipment and to personnel safety in the petroleum and chemical industry. 
Yael Nemirovsky	1999	For contributions to compound semiconductor devices and technology. 
Dragan Nesic	2008	For contributions to the analysis and control of networked nonlinear sampled-data systems 
Andrea Neto	2016	For contributions to dielectric lens antennas and wideband arrays 
Andreas Neuber	2012	For contributions to the physics of dielectric surface flashover in high electric fields 
Philip Neudeck	2022	For contributions to silicon carbide electronics and crystal growth 
Arnost Neugroschel	1990	For contributions to materials characterization for transistor and solar cell analysis and design. 
David Neuhoff	1994	For contributions to the theory of universal source coding and asymptotic vector quantization. 
Erich Neuhold	2006	For contributions to distributed multimedia databases. 
Peter Neumann	1993	For contributions to the development of secure computer and communications systems. 
Yrjo Neuvo	1989	For contributions to digital-signal processing algorithms and engineering education. 
Ramakant Nevatia	1991	For contributions to the field of computer vision. 
Robert Nevels	2007	For contributions to electromagnetic field theory for quantum mechanics 
Robert Nevin	1989	For technical leadership in the development of lightweight airborne multimode pulse-Doppler radar. 
Nathan Newbury	2022	For contributions to optical frequency comb metrology 
