Fellow,Year,Country,University,Citation
Tsorng-Juu Liang,2016,Taiwan,National Cheng Kung University,For contributions to power conversion for lighting and sustainable energy 
Qilian Liang,2017,USA,University of Texas at Arlington,For contributions to interval type-2 fuzzy logic systems 
Jun Liang,2024,Canada,University of New Brunswick,For contributions to DC gridâs modeling and control 
Di Liang,2024,USA,Freedom Photonics,"For contributions to photonic integration in optical communication, computing, and volume production "
Xiaofeng Liao,2021,China,Central South University,For contributions to neurodynamic systems and chaotic cryptography 
Daniel Lidar,2015,USA,University of Southern California,For contributions to quantum information processing 
Donald Lie,2017,USA,Texas Tech University,For contributions to high linearity and high efficiency silicon RF power amplifiers for broadband wireless applications 
Teng-Joon Lim,2017,Singapore,National University of Singapore,For contributions to statistical signal processing in wireless communications 
Christina Lim,2023,Australia,The University of Melbourne,For contributions in hybrid fiber-wireless communications technology 
Sung Kyu Lim,2023,USA,Georgia Institute of Technology,For contributions to electronic design automation and tradeoff for 3-dimensional integrated circuits 
Faa-Jeng Lin,2017,Taiwan,National Central University,For contributions to intelligent control systems for motor drives and motion control 
Weisi Lin,2016,Singapore,Nanyang Technological University,For contributions to perceptual modeling and processing of visual signals 
Wei Lin,2018,China,Fudan University,For contributions to nonlinear control systems 
Wallace Lin,2020,Taiwan,National Chiao Tung University,For contributions to understanding transistor charging mechanisms 
Gong-Ru Lin,2020,Taiwan,National Taiwan University,For contributions to ultrafast fiber lasers and highspeed laser diodes for optical communications 
Chia-Wen Lin,2018,Taiwan,National Tsing Hua University,For contributions to multimedia coding and editing 
Zhouchen Lin,2018,China,Peking University,For contributions to low-rank data modeling and image processing 
Xiaojun Lin,2017,USA,Purdue University,For contributions to scheduling and control of wireless networks 
Phone Lin,2017,Taiwan,National Taiwan University,For contributions to resource management and service development for mobile networks 
Zhiyun Lin,2024,China,Zhejiang University,For contributions to distributed multi-agent systems and autonomous systems 
Liang Lin,2024,China,Sun Yat-sen University,For contributions to multimedia content analysis 
Xuemin Lin,2016,Australia,University of New South Wales,For contributions to algorithmic paradigms for database technology 
C. Steven Lingafelt,2019,United States,Duke University,For leadership in cybersecurity education and practice 
Giuseppe Lipari,2018,Italy,Scuola Superiore Sant'Anna,For contributions to reservation-based real-time scheduling 
Richard Lippmann,2020,United States,Massachusetts Institute of Technology,For contributions to neural networks and assessment of computer security systems 
Shaoying Liu,2019,Japan,Hosei University,For contributions to the design of Structured Object-Oriented Formal Language 
Wentai Liu,2017,United States,"University of California, Los Angeles",For contributions to electronically-aided neural prosthetic devices 
Tian-Hua Liu,2022,United States,NOAA,For contributions to sensorless control for AC drives 
Jinjun Liu,2019,Australia,Macquarie University,For contributions to modeling and control of power systems 
Chee Wee Liu,2018,Singapore,National University of Singapore,For contributions to high-mobility Ge and SiGe MOSFETs 
Tieyan Liu,2017,Singapore,Microsoft Research Asia,For contributions to machine learning for web search and online advertising 
Jie Liu,2018,United States,Duke University,For contributions to wireless sensing 
Cheng-Lin Liu,2015,China,Chinese Academy of Sciences,For contributions to handwritten document analysis 
Xiaoming Liu,2023,United States,Michigan State University,For contributions to facial image analysis and recognition 
Shan Liu,2022,China,Tencent,For leadership in multimedia and multicore processors 
Xin Liu,2019,USA,"University of California, Davis",For contributions to the design of cross-layer resource allocation algorithms for cellular and cognitive radio networks 
Zicheng Liu,2015,USA,Microsoft Research,For contributions to visual processing for multimedia interaction 
Yong Liu,2017,China,Shanghai Jiao Tong University,For contributions to multimedia networking 
Shih-Chii Liu,2022,Switzerland,ETH Zurich,For contributions to neuromorphic engineering 
Xiaoping Liu,2019,China,Tianjin University,For contributions to system identification and networked teleoperation 
Yunhao Liu,2015,China,Tsinghua University,For contributions to wireless sensor networks and systems 
Hang Liu,2024,United States,Stevens Institute of Technology,For contributions to the development and standardization of wireless mesh networking and video streaming technologies 
Yong Liu,2015,China,Shanghai Jiao Tong University,For contributions in power electronics packaging 
Ce Liu,2023,USA,MIT,For contributions to computer vision and computational photography 
Zhigang Liu,2023,China,Harbin Institute of Technology,For contributions to fault detection and protection in  high-speed railway power systems 
Po-Tsun Liu,2020,Taiwan,National Chiao Tung University,For contributions to thin film transistor technologies 
Kai Liu,2016,USA,"University of California, Davis",For contributions to the understanding of magnetotransport effects and magnetization reversal  in nanostructures 
Alex Liu,2019,USA,Purdue University,For contributions to firewall design and analysis 
Shixia Liu,2021,China,Tsinghua University,For contributions to visual text analysis and visual model analysis 
Wei Liu,2023,China,Tencent AI Lab,For contributions to large-scale machine learning and multimedia intelligence 
Ming-Yu Liu,2024,USA,NVIDIA,For contributions to generative adversarial networks in multimodal content creation 
David Lo,2022,Singapore,Singapore Management University,For contributions to synergizing software engineering and data mining 
Vitaliy Lomakin,2021,USA,"University of California, San Diego",For contributions to theoretical and computational electromagnetics 
Stefano Lonardi,2016,USA,"University of California, Riverside",For contributions to computational biology and data mining 
Cristina Lopes,2019,United States,"University of California, Irvine",For contributions to ubiquitous and immersive programming 
Marco Lops,2019,Italy,Politecnico di Milano,For contributions to radar target detection and estimation in clutter 
Susan Lord,2015,United States,University of San Diego,For professional leadership and contributions to engineering education 
Andrew Lord,2023,United Kingdom,BT (British Telecommunications),For contributions to optical networking 
Wenjing Lou,2015,United States,Virginia Tech,For contributions to information and network security 
David Love,2015,United States,Purdue University,For contributions to feedback-adaptive wireless communication systems 
David Lowther,2017,Canada,McGill University,For contributions to and industrial applications of  computer aided design in electromagnetics 
Jose Lozano,2021,Spain,University of Granada,For contributions to the estimation of distribution algorithms in evolutionary computation 
Jianbo Lu,2020,China,Tsinghua University,For contributions to the control of automotive systems with applications in vehicle safety and performance 
Shih-Lien Lu,2016,United States,Intel,For contributions to low-voltage microarchitecture and approximate computing 
Yung-Hsiang Lu,2021,USA,Purdue University,For contributions to energy efficiency of computer systems 
Yilong Lu,2018,Singapore,Nanyang Technological University,For contributions to array antenna techniques in radar systems 
Songwu Lu,2016,USA,"University of California, Los Angeles",For contributions to wireless and mobile networking and network security 
Guo-Quan Lu,2018,China,Southeast University,For development of materials and packaging technologies for  power electronics modules 
Daoqiang Lu,2021,China,Nanjing University of Aeronautics and Astronautics,For development of materials and manufacturing processes for mobile devices 
Ning Lu,2021,USA,North Carolina State University,For contributions to load modeling and control methods for providing demand side grid services 
Zhengyu Lu,2021,China,Shanghai Jiao Tong University,For contributions to DC-DC power conversion and control 
Chang-Tien Lu,2024,USA,Virginia Tech,For contributions to spatial informatics and urban computing 
Le Lu,2021,USA,Johns Hopkins University,For contributions to machine learning for cancer detection and diagnosis 
Huchuan Lu,2024,China,Dalian University of Technology,For contributions to visual object tracking and salient object detection 
Wei Lu,2018,USA,University of Michigan,For contributions to development of neuromorphic systems 
Rongxing Lu,2021,Canada,University of New Brunswick,For contributions to security and privacy in vehicular communications 
Jiwen Lu,2024,China,Tsinghua University,For contributions to visual content analysis and recognition 
David Lubkeman,2015,USA,North Carolina State University,For contributions to power system distribution systems 
Hang-Ting Lue,2022,Taiwan,National Chiao Tung University,For contributions to charge-trapping memories and 3D NOR flash 
David Luebke,2017,USA,NVIDIA,For contributions to GPU computing and computer graphics 
John Luginsland,2018,USA,Michigan State University,"For contributions to space-charge limited flow physics, coherent radiation sources, and computational plasma physics "
Richard Lukaszewski,2018,USA,Eaton Corporation,For contributions to the application of power electronic devices for variable frequency drives 
Fa-Long Luo,2016,USA,University of Edinburgh,For contributions to adaptive signal processing for hearing and multimedia applications 
Jun Luo,2024,Singapore,Nanyang Technological University,For contributions to wireless networking and sensing using Internet-of-Things 
Robert Lutwak,2017,United States,National Institute of Standards and Technology (NIST),"For technical leadership in research, development and commercialization of miniature atomic frequency standards and clocks "
Robyn Lutz,2022,United States,Iowa State University,For contributions to software requirements for safety-critical systems 
Cyril Luxey,2017,France,Université Côte d’Azur,"For the development of small antennas, multi-antenna system integration, and high performance mm-wave systems "
Joseph Lyles,2017,United States,National Security Agency,"For contributions in local network technology, Internet measurement, and research cyberinfrastructure "
Siwei Lyu,2022,United States,University at Buffalo,For contributions to digital media forensic technologies 
S M MUYEEN,2024,Japan,Yokohama National University,For contributions to stable grid-interfaced renewable energy conversion and control 
Shugen Ma,2018,Japan,Ritsumeikan University,For contributions to the design and control of environment-adaptive robots 
Wing-Kin Ma,2017,Hong Kong,The Chinese University of Hong Kong,For contributions to optimization in signal processing and communications 
Zhenqiang Ma,2018,United States,University of Wisconsin–Madison,For contributions to flexible and biodegradable microwave electronics 
Xiaoli Ma,2016,United States,Georgia Institute of Technology,For contributions to block transmissions over wireless fading channels 
Huadong Ma,2021,China,Beijing Institute of Technology,For contributions to multimedia sensor networks 
Kaixue Ma,2024,China,Tsinghua University,For contributions to low-loss substrate integrated suspended line technology and reconfigurable millimeter-wave front-end integrated circuits 
Siwei Ma,2024,China,Peking University,For contributions to video coding technologies and standards 
Roya Maboudian,2021,United States,"University of California, Berkeley",For contributions to surface coatings and structural materials for microelectromechanical systems 
Giuseppe Macchiarella,2015,Italy,Politecnico di Milano,For contributions to the synthesis of microwave filters and multiplexers 
Kartikeyan Machavaram,2020,India,Indian Institute of Technology Madras,For contributions to high-power millimeter wave and terahertz sources 
Karon Maclean,2023,Canada,University of British Columbia,For contributions to the design of haptic communication 
Anant Madabhushi,2019,United States,Emory University,For contributions in image analysis tools for diagnosis and prognosis of diseases 
Udaya Madawala,2018,New Zealand,University of Auckland,For contributions to power electronics for bi-directional wireless power transfer 
Enrico Magli,2017,Italy,Politecnico di Torino,For contributions to compression and communication of remotely sensed imagery 
Abhijit Mahalanobis,2015,United States,University of Central Florida,For contributions to the development of correlation filters for automatic target recognition 
Souvik Mahapatra,2016,India,Indian Institute of Technology Bombay,For contributions to CMOS transistor gate stack reliability 
Scott Mahlke,2015,United States,University of Michigan,For contributions to compiler code generation and automatic processor customization 
Robert Mahony,2017,Australia,Australian National University,For contributions to control aspects of aerial robotics 
Sara Majetich,2017,United States,Carnegie Mellon University,For contributions to understanding of magnetic nanoparticles 
Gourab Majumdar,2021,Japan,Renesas Electronics Corporation,For contribution to power semiconductor devices and intelligent power module 
Pui-In Mak,2019,Macau,University of Macau,For contributions to radio-frequency and analog circuits 
Dragan Maksimovic,2015,United States,University of Colorado Boulder,For contributions to digital control of high-frequency switched-mode power converters 
Roger Malik,2015,United States,Qualcomm,For contributions to heterojunction compound semiconductor materials and devices 
Bradley Malin,2024,United States,Vanderbilt University,"For contributions to data engineering, privacy, and security in biomedicine "
John Malinowski,2019,United States,Emerson Electric Co.,For contributions to motor efficiency manufacturing regulations and standards 
Debendra Mallik,2015,United States,University of North Dakota,For contributions to microprocessor packaging 
Pierluigi Mancarella,2023,Australia,University of Melbourne,For contribution to power system resilience and multi-energy systems 
Gabriele Manganaro,2016,United States,Analog Devices,For leadership in the design of high-speed converters 
Stephane Mangin,2021,France,Université de Lorraine,For contributions to ultrafast magnetisation manipulation 
Milos Manic,2021,United States,Virginia Commonwealth University,For contributions to machine learning based cybersecurity for critical infrastructures 
Steve Mann,2024,Canada,University of Toronto,For contributions to wearable and immersive computing technologies 
Dimitris Manolakis,2016,United States,Northeastern University,"For contributions to signal processing education, algorithms for adaptive filtering, and hyperspectral imaging "
Yiannos Manoli,2020,Germany,University of Freiburg,For contributions to the design of integrated analog-to-digital interface circuits and energy harvesting systems 
Jonathan Manton,2016,Australia,University of Melbourne,For contributions to geometric methods in signal processing and wireless communications 
Chengxiong Mao,2023,China,Huazhong University of Science and Technology,For leadership in active control of power systems and its industrial applications 
Guoqiang Mao,2018,Australia,University of Technology Sydney,For contributions to localization algorithms for wireless networks 
Shiwen Mao,2019,United States,Auburn University,For contributions to wireless multimedia networking 
Lorenzo Marconi,2017,Italy,University of Bologna,For contributions to feedback design of nonlinear systems and unmanned aerial vehicles 
Diana Marculescu,2015,United States,University of Texas at Austin,For contributions to design and optimization of energy-aware computing systems 
Jason Marden,2024,United States,"University of California, Santa Barbara",For contributions to game theory for distributed control systems 
Vladimir Marik,2018,Czech Republic,Czech Technical University in Prague,For leadership in industrial applications of cybernetics 
Athina Markopoulou,2021,United States,"University of California, Irvine",For contributions to network coding systems and network measurement 
Dejan Markovic,2021,United States,"University of California, Los Angeles",For contributions to low-power VLSI signal processing and neurotechnology 
Joao Marques Silva,2016,Portugal,"INESC-ID / Instituto Superior Técnico, University of Lisbon",For contributions to decision and optimization algorithms for propositional logic 
Sylvain Martel,2015,Canada,Polytechnique Montréal,For contributions to medical micro- and nano-robotics 
Jose Martinez,2021,USA,Cornell University,For contributions to adaptable multiprocessor computer architectures 
Sonia Martinez,2018,USA,"University of California, San Diego",For contributions to the geometric mechanics and control 
Marta Martinez-Vazquez,2017,Spain,Universidad de Sevilla,For leadership in integrated signal-aware technologies for antennas and global navigation satellite system arrays 
Marco Martorella,2020,Italy,University of Pisa,For contributions to multi-static inverse synthetic aperture radars 
Frank Marzano,2016,Italy,Sapienza University of Rome,For contributions to microwave remote sensing in meteorology and volcanology 
Saverio Mascolo,2018,Italy,Politecnico di Bari,For contributions to modeling and control of congestion in packet networks 
Dmitri Maslov,2021,Canada,University of Victoria,"For contributions to quantum circuit synthesis and  optimization, and compiling for quantum computers "
Andrea Massa,2018,Italy,University of Trento,For contributions to phased arrays and electromagnetic inverse scattering 
Yehia Massoud,2015,Saudi Arabia,King Abdullah University of Science and Technology,For contributions to the modeling and design of nanoscale interconnects 
Witold Maszara,2015,United States,IBM,For contributions to high performance CMOS process modules 
Sanu Mathew,2018,United States,Intel Corporation,For leadership in computer arithmetic datapath and security circuits 
Ignacio Matias,2022,Spain,Public University of Navarra,For contributions to photonic sensor research and transference to industry 
David Matolak,2021,United States,University of South Carolina,For contributions to wireless channel modeling and applications 
Andrey Matsko,2021,United States,OEwaves Inc.,For contributions to the development of microwave photonic oscillators 
Takashi Matsuoka,2023,Japan,Kyushu University,For contributions to laser diodes for optical communications and nitride semiconductors for light emitting devices 
Paolo Mattavelli,2015,Italy,University of Padova,For contributions to power converters for grid-connected applications and power management 
Michail Matthaiou,2023,United Kingdom,Queen's University Belfast,For contributions to fundamental research and practical implementation of massive MIMO 
Gerald Matz,2023,Austria,TU Wien,For contributions to signal processing for communications in nonstationary environments 
Clyde Maughan,2016,United States,Maughan Engineering Consultants,For contributions to large generator insulation systems and generator failure mechanisms 
Ujjwal Maulik,2020,India,Jadavpur University,For development of algorithms in evolutionary clustering and bioinformatics 
Theresa Mayer,2017,United States,Purdue University,For contributions to nanomaterials integration and directed assembly 
Sudip Mazumder,2016,United States,University of Illinois Chicago,For contributions to analysis and control of power electronics systems 
Giovanni Mazzanti,2021,Italy,University of Bologna,For contributions to high voltage direct current cable systems 
Gianluca Mazzini,2015,Italy,University of Ferrara,For contributions to chaos-based electronic and telecommunication systems design 
Charles Mc Shane,2019,,,"For leadership in safety, performance, and sustainability of power transformers "
Michael McShane,2024,United States,University of Oklahoma,For contributions to biomaterials-based optical biosensors 
Timothy Mccoy,2015,United States,NASA Glenn Research Center,For leadership in ship-board electric power systems 
PatrickDrew Mcdaniel,2015,United States,Pennsylvania State University,For contributions to the security of mobile communications 
James Mcdowall,2020,Canada,University of Auckland,For leadership in stationary battery standards and energy storage industry 
Dale Mcmorrow,2019,United States,Naval Research Laboratory,For contributions to laser-based methodologies for simulating single-event effects in digital devices 
Derek Mcnamara,2019,,,For contributions to antenna synthesis and engineering 
Deepankar Medhi,2018,United States,University of Missouri-Kansas City,For contributions to optimization and the design of computer-communication networks 
Nenad Medvidovic,2016,United States,University of Southern California,For contributions to the architecture of complex software systems 
Sharad Mehrotra,2021,United States,"University of California, Irvine",For contributions to the fields of data management and multimedia information retrieval 
Neelesh Mehta,2019,India,Indian Institute of Science,For contributions to opportunistic selection in wireless communication systems 
Prashant Mehta,2024,United States,University of Illinois Urbana-Champaign,For contributions to nonlinear filtering 
Shengwei Mei,2015,China,Tsinghua University,For contributions to power systems robust control and complexity analysis 
Hong Mei,2015,China,Peking University,For contributions to software architecture and component-based software engineering 
Tao Mei,2019,China,JD.com,For contributions to multimedia analysis and applications 
Russell Meier,2018,USA,Milwaukee School of Engineering,For contributions to global on-line engineering education 
Erik Meijering,2019,Australia,University of New South Wales,For contributions to computational methods for biological image analysis 
Saad Mekhilef,2022,Malaysia,University of Malaya,For contributions to control methods for photovoltaic systems and multi-level inverters 
Claudio Melchiorri,2020,Italy,University of Bologna,For design and control of robot hands and telemanipulation systems 
Farid Melgani,2016,Italy,University of Trento,For contributions to image analysis in remote sensing 
Marco Mellia,2021,Italy,Politecnico di Torino,For contributions to Internet traffic analysis 
Tommaso Melodia,2018,USA,Northeastern University,For contributions to underwater acoustic and multimedia networks 
Abraham Mendelson,2018,Israel,Technion - Israel Institute of Technology,For contributions to power-aware architecture and value prediction for program execution 
Ellis Meng,2016,USA,University of Southern California,For contributions to biomedical microelectromechanical systems 
Tim Menzies,2019,USA,North Carolina State University,For contributions to software engineering for artificial intelligence 
Jean-Pierre Merlet,2015,France,INRIA Sophia Antipolis,For contributions to parallel robots 
Mehran Mesbahi,2015,United States,University of Washington,For contributions to networked control systems 
Dimitri Metaxas,2016,United States,Rutgers University,"For contributions to computer vision, medical image analysis, and sparse learning methods "
Florian Metze,2023,United States,Carnegie Mellon University,For contributions to end-to-end training of speech recognition systems 
Thierry Meynard,2017,France,Université de Toulouse,For contributions to multilevel power converters 
Igor Mezic,2022,United States,"University of California, Santa Barbara",For contributions to modeling and control using Koopman operator techniques 
Zetian Mi,2022,Canada,McGill University,For contributions to III-nitride photonics and clean energy 
Silvestro Micera,2022,Italy,Scuola Superiore Sant'Anna,For contributions to restoration of human sensorimotor functions using engineered neuroprostheses 
Bruno Michel,2019,Switzerland,IBM Research – Zurich,For contributions to energy efficiency for computers and solar systems 
Miroslav Micovic,2019,Serbia,University of Belgrade,For contributions to gallium nitride electronics 
Maurizio Migliaccio,2017,Italy,Parthenope University of Naples,For contributions to marine and maritime polarimetric synthetic aperture radar 
Risto Miikkulainen,2016,United States,University of Texas at Austin,For contributions to neural and evolutionary computation 
Thomas Mikolajick,2023,Germany,TU Dresden,For contributions to nonvolatile memory 
Federico Milano,2016,Ireland,University College Dublin,For contributions to power system modeling and simulation 
Olgica Milenkovic,2018,United States,University of Illinois Urbana-Champaign,For contributions to genomic data compression 
Lamine Mili,2016,United States,Virginia Tech,For contributions to robust state estimation for power systems 
Jose  del R. Millan,2017,United States,University of Texas at Austin,For contributions to brain-controlled robots 
Ethan Miller,2015,United States,"University of California, Santa Cruz",For contributions to the design of file and storage systems 
Michael Miller,2020,United States,"University of California, Santa Barbara","For contributions to medical imaging, brain mapping, and computational anatomy "
Linda Milor,2023,United States,Georgia Institute of Technology,For contributions to testing of analog circuits and bridging the design-manufacturing gap for integrated circuits 
Stephen Milton,2017,USA,"University of California, Santa Cruz",For contributions to free electron lasers 
Pitu Mirchandani,2017,USA,Arizona State University,For contributions to stochastic dynamic networked systems in intelligent transportation and production systems 
Richard Mirin,2023,USA,National Institute of Standards and Technology,For contributions to quantum photonic devices 
Prabhat Mishra,2021,USA,University of Florida,For contributions to system-on-chip validation and design automation of embedded systems 
Jelena Misic,2018,Canada,Ryerson University,For contributions to modeling and performance evaluation in wireless communications 
Durgamadhab Misra,2020,USA,New Jersey Institute of Technology,For contributions to the reliability of CMOS gate stacks with high-k dielectrics 
Vishal Misra,2016,USA,Columbia University,"For contributions to network traffic modeling, congestion control and Internet economics "
Sudip Misra,2022,India,Indian Institute of Technology Kharagpur,For contributions to intelligent sensing in constrained IoT environments 
Massimo Mitolo,2020,USA,"California State University, Long Beach",For contributions to the electrical safety of low-voltage systems 
Joydeep Mitra,2019,USA,Michigan State University,For contributions to the development of power system reliability methods 
Hiroyuki Mizuno,2022,Japan,Nagoya University,For contributions to leakage current reduction in integrated circuits 
Mohammad Modarres,2023,United States,University of Maryland,For contributions to probabilistic risk assessment in nuclear safety 
Apurva Mody,2022,United States,Georgia Institute of Technology,For leadership in cognitive dynamic spectrum sharing and standards 
Yasser Mohamed,2021,Canada,University of Alberta,For contributions to the control and dynamic analysis of microgrids and power electronic systems 
Amir-Hamed Mohsenian-Rad,2020,United States,"University of California, Riverside",For contributions to optimal resource management in wireless networks and the smart grid 
Theodore Moise,2019,United States,"Texas Instruments (company, not university)",For contributions to ferroelectric memory development and engineering 
Aleksandra Mojsilovic,2017,United States,"IBM Research (company, not university)","For contributions to signal processing for image analysis, data mining, and business analytics "
Mohamed Mokbel,2020,United States,University of Minnesota,For contributions to building spatially- and privacy-aware systems 
Marta Molinas,2023,Norway,Norwegian University of Science and Technology,For contributions to modeling and stability of power electronics 
Andrea Montanari,2018,United States,Stanford University,For applications of statistical physics to coding theory 
Webert Montlouis,2022,,,For leadership in the development of radar systems 
Guido Montorsi,2020,Italy,Politecnico di Torino,For contributions to error-correcting codes and iterative decoding 
Roberto Morandotti,2021,Canada,INRS (Institut National de la Recherche Scientifique),For contributions to integrated nonlinear and quantum optics 
Jose Moreira,2021,Germany,Rohde & Schwarz,For advances in high performance computing systems software and processor design 
Mutsuhiro Mori,2020,Japan,Kyoto University,For contributions to high voltage insulated gate bipolar transistors for traction and high voltage systems 
Kirsten Morris,2020,Canada,University of Waterloo,For contributions to control and estimator design for infinite-dimensional systems 
Katherine Morse,2021,USA,The MITRE Corporation,For contributions to standardization of simulation technologies 
Daniele Mortari,2016,USA,Texas A&M University,For contributions to navigational aspects of space systems 
Gabriele Moser,2023,Italy,University of Genoa,For contributions to pattern recognition in remote sensing 
Andreas Moshovos,2021,Canada,University of Toronto,For contributions to out-of-order processor microarchitecture and multiprocessor memory systems 
David Moss,2016,Australia,Swinburne University of Technology,For contributions to all-optical signal processing chips and commercial products for fibre optic communications 
Yasamin Mostofi,2020,United States,"University of California, Santa Barbara",For contributions to control and communications co-optimization in mobile sensor networks 
Mehul Motani,2018,Singapore,National University of Singapore,For contributions to wireless communications and sensor networks 
Masato Motomura,2022,Japan,Tokyo Institute of Technology,For contributions to memory-logic integration of reconfigurable chip architecture 
Hideki Motoyama,2018,Japan,Kyushu University,For contributions to lightning protection and insulation coordination of electric power systems 
Klaus Mueller,2024,United States,Stony Brook University,For contributions to image reconstruction and visualization 
Ralf Reiner Mueller,2023,Germany,University of Erlangen-Nuremberg,For contributions to the design and analysis of large multiantenna and multiple-access systems 
Frank Mueller,2016,United States,North Carolina State University,For contributions to timing analysis of real-time systems 
Annette Muetze,2016,Austria,Graz University of Technology,For contributions to the analysis and mitigation of bearing currents in variable-speed drives 
Max Muhlhauser,2024,Germany,Technische Universität Darmstadt,For contributions to distributed software engineering 
Debargha Mukherjee,2022,United States,Google,For leadership in standard development for video-streaming industry 
Saibal Mukhopadhyay,2018,United States,Georgia Institute of Technology,For contributions to energy-efficient and robust computing systems design 
JeanMichel Muller,2017,France,École Normale Supérieure de Lyon,For contributions to theory and applications of computer arithmetic 
Arrate Munoz-Barrutia,2024,Spain,Universidad Carlos III de Madrid,For contributions to biomedical image processing 
Gabriel Miro Muntean,2023,Ireland,Dublin City University,For contributions in multimedia quality in heterogeneous network environments 
Tamara Munzner,2023,Canada,University of British Columbia,"For contributions to principles, processes, and design for visualization "
Toshiyuki Murakami,2024,Japan,Keio University,For contributions to reaction torque observer and power assisted control 
Tadahiko Murata,2024,Japan,Kansai University,For contributions to evolutionary multi-objective optimization and algorithms 
Vittorio Murino,2022,Italy,University of Verona,For contributions to signal processing for behavior analysis 
Boris Murmann,2015,United States,Stanford University,For contributions to the design of digitally-assisted analog integrated circuits 
Robert Murphy,2020,United States,Carnegie Mellon University,For contributions to machine learning algorithms for biological images 
Chandra Murthy,2023,India,Indian Institute of Science,For contributions to Bayesian sparse signal recovery and energy harvesting communications 
Onur Mutlu,2019,Switzerland,ETH Zurich,For contributions to computer architecture research and practice 
Kashem Muttaqi,2023,Australia,University of Wollongong,For contribution to modeling and control of renewable and distributed energy resources 
Luiz A N Barroso,2020,United States,Google,For leadership in analytical methods for power system economics and regulation 
PREMKUMAR NATARAJAN,2023,United States,University of Southern California,"For contributions to conversational AI systems,  spoken language translation, and home voice-assistant systems "
Tadao Nagatsuma,2015,Japan,Osaka University,For contribution to millimeter and terahertzwave communications using photonics 
Mukesh Nagpal,2022,Canada,University of British Columbia,For contributions to economic and safe integration of distributed renewables in electric utility networks 
Saeid Nahavandi,2020,Australia,Deakin University,For contributions to haptically-enabled robotic systems 
Babak Nahid-Mobarakeh,2022,France,University of Lorraine,For contributions to service continuity of electric motor drive systems 
Girish Nair,2018,Australia,University of Melbourne,For contributions to control and information in networked dynamical systems 
Marc Najork,2020,United States,Google,For contributions to web crawling and web data processing 
Kazuhiro Nakadai,2023,Japan,Tokyo Institute of Technology,For contributions to robot audition and computational auditory scene analysis 
Katsu Nakamura,2019,Japan,University of Tokyo,For contributions to integrated circuits for digital imaging 
Satoshi Nakamura,2016,Japan,Nara Institute of Science and Technology,For contributions to speech recognition and speech-to-speech translation 
Junichi Nakamura,2017,Japan,Panasonic Corporation,For leadership in CMOS image sensors 
Yoshiaki Nakano,2023,Japan,University of Tokyo,For contributions to semiconductor integrated photonic devices and circuits 
Tomohiro Nakatani,2021,Japan,NTT Corporation,For contributions to far-field signal processing for speech enhancement and recognition 
Omkaram Nalamasu,2021,United States,Applied Materials,"For contributions to patterning solutions and advancing materials engineering for electronics, display, and energy "
Arumugam Nallanathan,2017,United Kingdom,Queen Mary University of London,For contributions to cooperative communications and cognitive radio networks 
Sae Woo Nam,2022,USA,National Institute of Standards and Technology,For pioneering development of superconducting single-photon detectors with applications to quantum communications and quantum computing 
Shu Namiki,2017,Japan,National Institute of Advanced Industrial Science and Technology,For contributions to optical amplification 
Chandra Namuduri,2021,USA,University of North Texas,For contributions to power electronics for safe and energy efficient electric vehicles 
Thyagarajan Nandagopal,2016,USA,National Science Foundation,"For contributions to wireless network optimization, RFID systems, and network architectures "
Antonio Napolitano,2016,Italy,University of Naples Parthenope,For contributions to the statistical theory of nonstationary signal processing 
Krishna Narayanan,2015,USA,Texas A&M University,For contributions to coding for wireless communications and data storage 
Panos Nasiopoulos,2017,Canada,University of British Columbia,For leadership in DVD authoring and digital multimedia technologies 
Adel Nasiri,2022,USA,University of Alabama in Huntsville,For contributions to high power converters for energy storage systems and microgrids 
Isaac Nassi,2022,USA,Stanford University,For leadership in parallel and distributed systems and adaptive systems 
Nassir Navab,2022,Germany,Technical University of Munich,For contributions to augmented reality in medicine and computer-assisted interventions 
Krishna Nayak,2022,USA,University of Southern California,For contributions to real-time magnetic resonance imaging of the human heart and vocal tract airway 
Patrick Naylor,2020,UK,Imperial College London,For contributions to signal processing for speech dereverberation and analysis 
Moshe Nazarathy,2020,Israel,Technion – Israel Institute of Technology,For contributions to optical systems and analog fiber-optic transmission 
Hans Peter Nee,2018,Sweden,KTH Royal Institute of Technology,For contributions to silicon carbide power electronics and modular multilevel converters 
Michael Negnevitsky,2023,Australia,University of Tasmania,For contributions to application of AI techniques for control of isolated hybrid power systems 
Jose Neira,2021,Spain,Universidad Politécnica de Madrid,For contributions to simultaneous localization and mapping (SLAM) for robot navigation 
Robert Nelson,2016,United States,University of Minnesota,For contributions to flexible AC transmission system (FACTS) devices and wind power generation 
Andrea Neto,2016,Netherlands,Delft University of Technology,For contributions to dielectric lens antennas and wideband arrays 
Philip Neudeck,2022,USA,NASA Glenn Research Center,For contributions to silicon carbide electronics and crystal growth 
Nathan Newbury,2022,USA,National Institute of Standards and Technology,For contributions to optical frequency comb metrology 
Tze Sing Eugene Ng,2023,United States,Rice University,For contributions to circuit-switched innovations in datacenter network and scalable methods for Internet delay estimation 
Wing Kwan Ng,2021,Hong Kong,The Chinese University of Hong Kong,For contributions to resource allocation for wireless communication networks 
Khai D Ngo,2015,United States,Virginia Tech,For contributions to unified synthesis and modeling of switched-mode converters 
